Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIPRULI.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2020-01-01,205.8271026611328,364.3482971191406,1404.2060546875,1723.836181640625,745.4520263671875,2703.12890625,935.6705322265625,4160.83837890625,436.93896484375,176.90509033203125,2751.210693359375,458.2911376953125,124.97035217285156,1745.1395263671875,565.1572875976562,2115.29638671875,723.6759033203125,482.28173828125,1227.4285888671875,613.7735595703125,2034.1009521484375,207.26910400390625,1789.385986328125,518.85400390625,477.834228515625,1433.3946533203125,655.615234375,190.00466918945312,249.207763671875,1669.0074462890625,1203.4100341796875,1672.294921875,508.5078125,7020.50732421875,1394.4571533203125,91.99999237060547,89.9920883178711,80.38074493408203,685.5670776367188,965.9752197265625,314.7991943359375,19913.1171875,410.0571594238281,311.6020812988281,183.31121826171875,1970.77734375,650.0022583007812,1128.0443115234375,3967.75732421875,120.19902038574219
2020-01-02,209.14447021484375,369.65460205078125,1471.44580078125,1721.3846435546875,753.6661376953125,2678.15771484375,948.3561401367188,4175.34228515625,438.7703857421875,175.42982482910156,2763.655517578125,455.97991943359375,124.46916961669922,1751.90380859375,562.3112182617188,2069.78662109375,746.9212036132812,483.6308898925781,1235.25244140625,626.4154052734375,2031.508544921875,212.9271697998047,1790.7716064453125,522.5756225585938,483.298583984375,1476.5615234375,653.7024536132812,191.40118408203125,256.9693908691406,1666.5150146484375,1235.8851318359375,1709.3145751953125,511.58758544921875,7037.9345703125,1389.7679443359375,91.88644409179688,90.41573333740234,80.2162857055664,697.2384643554688,959.0003662109375,319.36419677734375,20807.10546875,410.6709289550781,311.12103271484375,192.55380249023438,1961.7301025390625,653.3712768554688,1128.87451171875,4143.255859375,120.49018096923828
2020-01-03,206.272705078125,369.0274658203125,1463.028564453125,1683.6529541015625,739.7269287109375,2636.153564453125,932.418212890625,4123.619140625,438.6739807128906,173.97254943847656,2750.44140625,452.5613098144531,124.9113998413086,1760.443115234375,566.04052734375,2030.347412109375,737.4671630859375,493.32806396484375,1217.6368408203125,622.9093017578125,2033.933837890625,209.3485565185547,1780.977294921875,520.8839721679688,480.0696716308594,1476.416748046875,663.7566528320312,190.32386779785156,253.25123596191406,1652.1083984375,1226.46875,1700.869140625,504.8593444824219,6965.34521484375,1376.9593505859375,90.33483123779297,90.69818115234375,79.35286712646484,698.07861328125,964.68896484375,314.09326171875,20699.40625,419.7823181152344,306.1658020019531,189.92018127441406,2000.8258056640625,661.090087890625,1113.3424072265625,4118.26904296875,121.84890747070312
2020-01-06,197.6078643798828,366.8084716796875,1439.7950439453125,1641.114501953125,720.1123657226562,2606.634521484375,902.1735229492188,3930.145263671875,433.4206848144531,168.80911254882812,2735.28076171875,449.479736328125,121.28521728515625,1763.84912109375,565.0493774414062,1998.841796875,718.3153076171875,490.7561340332031,1191.2852783203125,611.8970947265625,1980.2496337890625,202.4331512451172,1769.88916015625,508.1724853515625,472.4195251464844,1419.005615234375,657.3948974609375,187.61065673828125,245.62905883789062,1647.572265625,1209.6571044921875,1707.34375,497.04119873046875,6761.931640625,1360.263427734375,89.99421691894531,89.144775390625,79.39395904541016,681.8886108398438,972.6036376953125,300.2569274902344,20642.7109375,415.39178466796875,300.2965087890625,184.50381469726562,2000.6441650390625,657.0814208984375,1131.80517578125,4057.654541015625,122.35842895507812
2020-01-07,202.06405639648438,371.2464294433594,1455.7432861328125,1657.697509765625,722.6015625,2606.89208984375,907.4561157226562,3940.912841796875,429.034912109375,165.87661743164062,2748.4501953125,451.26129150390625,121.28521728515625,1769.1741943359375,566.0994873046875,1993.4132080078125,723.48095703125,492.653564453125,1210.1490478515625,622.1686401367188,1963.4420166015625,201.99790954589844,1774.740234375,505.4658203125,473.61175537109375,1411.5213623046875,647.652099609375,187.81016540527344,246.55859375,1665.817138671875,1213.102294921875,1720.152587890625,499.0787048339844,6791.89013671875,1348.3841552734375,91.24309539794922,88.79171752929688,78.81835174560547,692.3792114257812,974.3843994140625,299.69219970703125,21523.470703125,421.4817810058594,302.9906005859375,183.55967712402344,2005.5535888671875,662.7959594726562,1133.1239013671875,4140.62109375,123.83847045898438
2020-01-08,199.5388946533203,372.0665588378906,1450.7718505859375,1661.92724609375,721.35693359375,2625.169921875,912.4296264648438,3982.508544921875,442.28863525390625,165.48080444335938,2736.68359375,447.5536804199219,118.04228973388672,1759.6275634765625,568.6608276367188,1906.0643310546875,723.822021484375,493.9183349609375,1206.981201171875,621.08203125,1937.937744140625,200.59547424316406,1782.7327880859375,508.4140930175781,478.9270935058594,1408.575927734375,639.0213623046875,186.8924560546875,244.00238037109375,1649.8651123046875,1186.5067138671875,1697.8192138671875,497.18341064453125,6755.0185546875,1357.866943359375,90.7889404296875,87.1677017211914,78.34553527832031,687.1793212890625,977.2039184570312,301.00994873046875,21992.048828125,415.533447265625,304.28948974609375,181.42295837402344,2050.468017578125,656.5697021484375,1116.8590087890625,4215.6328125,123.64436340332031
2020-01-09,205.9756317138672,377.9999084472656,1456.629638671875,1703.9847412109375,739.6273193359375,2647.866455078125,937.3467407226562,4055.522705078125,443.4935302734375,169.31289672851562,2716.31884765625,452.7057800292969,116.74510955810547,1768.6947021484375,573.2241821289062,1947.908935546875,738.1007080078125,489.3227233886719,1220.516845703125,623.6994018554688,1968.877197265625,203.8355712890625,1787.9996337890625,528.0855712890625,480.6657409667969,1455.9437255859375,647.3406372070312,188.1692657470703,258.50311279296875,1660.0345458984375,1209.10595703125,1704.669677734375,512.914306640625,6940.04443359375,1381.66259765625,90.33483123779297,87.3442153930664,79.33229064941406,703.0060424804688,977.9459838867188,310.79888916015625,22357.826171875,415.2974548339844,316.1242980957031,190.8146209716797,2013.2823486328125,659.853515625,1136.54296875,4283.03076171875,123.08631896972656
2020-01-10,207.06492614746094,378.2411193847656,1462.8319091796875,1723.2110595703125,736.8395385742188,2661.1669921875,935.0521240234375,4075.828857421875,440.5054016113281,169.20494079589844,2706.04541015625,455.97991943359375,121.04934692382812,1790.6666259765625,575.6776733398438,1957.859619140625,737.0772705078125,489.3648986816406,1231.364501953125,615.4031372070312,1976.3193359375,204.56097412109375,1805.5096435546875,522.2373657226562,485.3352966308594,1440.106201171875,656.7720336914062,189.92486572265625,258.31719970703125,1679.625244140625,1216.8687744140625,1708.2352294921875,517.9842529296875,7038.5576171875,1385.6632080078125,91.05387115478516,87.6619644165039,79.00337982177734,702.8470458984375,978.4406127929688,312.72845458984375,22878.048828125,418.83807373046875,328.4402770996094,195.13775634765625,2012.554443359375,662.0709838867188,1127.3604736328125,4338.27685546875,122.16432189941406
2020-01-13,211.52113342285156,376.6009826660156,1460.4197998046875,1735.08349609375,734.2010498046875,2655.031982421875,943.3328247070312,4095.1513671875,451.9758605957031,169.38485717773438,2756.1435546875,459.9764099121094,124.7344970703125,1802.7078857421875,579.9368896484375,1943.2232666015625,740.3423461914062,494.5506591796875,1234.532470703125,617.6747436523438,1979.078857421875,204.27081298828125,1843.25537109375,520.6422729492188,493.7305603027344,1486.8463134765625,688.269287109375,190.92239379882812,258.9678649902344,1686.0059814453125,1226.147216796875,1714.381591796875,525.8970336914062,7059.87451171875,1383.0592041015625,92.15135192871094,88.57989501953125,80.09294128417969,701.0532836914062,979.281494140625,311.31658935546875,23352.162109375,419.7823181152344,339.6015625,195.0383758544922,1991.461181640625,670.2589721679688,1132.1470947265625,4361.80078125,123.64436340332031
2020-01-14,212.2638397216797,375.4914855957031,1470.116943359375,1748.782470703125,744.655517578125,2661.5107421875,953.2696533203125,4123.17724609375,452.40966796875,170.3203887939453,2810.495361328125,466.3321838378906,125.55995178222656,1797.7186279296875,578.5825805664062,1963.3165283203125,740.6348266601562,501.1277770996094,1237.892333984375,606.6624145507812,2016.4151611328125,204.99620056152344,1856.1451416015625,519.6757202148438,486.6268615722656,1430.83544921875,690.1378173828125,194.11439514160156,261.10577392578125,1671.749267578125,1218.246826171875,1762.2392578125,533.0518188476562,7092.6162109375,1402.906494140625,93.47590637207031,88.29745483398438,80.27796936035156,694.55908203125,977.25341796875,308.7281799316406,23088.3515625,421.1041259765625,374.8654479980469,194.64085388183594,2006.50830078125,679.1292724609375,1140.1087646484375,4376.05029296875,124.80899810791016
